ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
VKTX,12.34,16,12,-5.92,0.42,10.45,7.08
VLTO,5.88,9,5,-2.28,0.79,3.96,3.54
VNO,3.96,16,11,-5.81,0.72,5.42,5.17
VOYA,10.25,16,8,-1.72,0.17,4.02,2.81
VRNS,-78.56,16,11,-22.31,0.14,6.47,5.89
VRSN,-3.36,16,7,-2.71,0.07,3.65,2.67
VRTX,-29.73,16,6,-4.77,0.09,2.83,2.31
VSAT,-22.95,16,12,-14.74,0.37,13.0,8.45
VSH,-23.92,16,7,-4.99,0.21,4.32,2.28
VTR,0.05,16,7,-2.33,0.13,3.15,2.68
VVV,-4.71,16,10,-5.79,0.0,4.69,4.87
WEC,2.2,16,0,0.14,0.16,1.73,1.85
WELL,43.81,16,14,0.91,1.26,4.86,4.44
WERN,-1.02,16,9,-4.0,0.1,3.24,3.43
WEX,-37.3,16,6,-5.53,0.13,3.68,2.41
WFRD,32.07,16,14,-4.97,0.14,7.3,6.25
WMG,-0.23,16,10,-5.04,0.02,5.37,4.54
WMS,-30.11,16,11,-12.62,0.46,7.06,6.34
WPC,8.57,16,8,-1.93,0.11,2.4,2.42
WTW,-15.16,15,6,-3.68,0.1,3.22,1.91
WWD,-16.38,16,9,-6.2,0.04,6.25,3.75
XEL,6.89,16,3,-0.16,0.33,2.16,1.52
XPO,30.4,16,14,-5.8,2.19,10.06,9.72
XYL,12.21,16,11,-4.16,0.22,5.14,4.76
YUM,8.17,16,7,-1.43,0.29,3.44,2.52
YUMC,-9.03,16,11,-8.41,0.09,6.52,4.19
Z,23.15,16,13,-5.28,0.49,9.55,6.1
ZBH,-19.66,16,8,-5.46,0.1,3.49,2.8
ZG,22.31,16,13,-5.56,0.49,9.29,5.77
ZWS,0.24,16,9,-3.82,0.09,5.36,4.03
